Moonbeam GLMR,/currencies/moonbeam/,6836
Rally RLY,/currencies/rally/,8075
Horizen ZEN,/currencies/horizen/,1698
Voyager Token VGX,/currencies/voyager-token/,1817
UMA UMA,/currencies/uma/,5617
GateToken GT,/currencies/gatetoken/,4269
Velas VLX,/currencies/velas/,4747
Golem GLM,/currencies/golem-network-tokens/,1455
Siacoin SC,/currencies/siacoin/,1042
IOST IOST,/currencies/iostoken/,2405
0x ZRX,/currencies/0x/,1896
Immutable X IMX,/currencies/immutable-x/,10603
Ontology ONT,/currencies/ontology/,2566
SwissBorg CHSB,/currencies/swissborg/,2499
SKALE Network SKL,/currencies/skale-network/,5691
STEPN GMT,/currencies/green-metaverse-token/,18069
APENFT NFT,/currencies/apenft/,9816
SushiSwap SUSHI,/currencies/sushiswap/,6758
Fei USD FEI,/currencies/fei-usd/,8642
Storj STORJ,/currencies/storj/,1772
DigitalBits XDB,/currencies/digitalbits/,4566
Keep Network KEEP,/currencies/keep-network/,5566
Dogelon Mars ELON,/currencies/dogelon/,9436
Revain REV,/currencies/revain/,2135
Gemini Dollar GUSD,/currencies/gemini-dollar/,3306
JUST JST,/currencies/just/,5488
Hive HIVE,/currencies/hive-blockchain/,5370
Ren REN,/currencies/ren/,2539
Illuvium ILV,/currencies/illuvium/,8719
Syscoin SYS,/currencies/syscoin/,541
Polymath POLY,/currencies/polymath-network/,2496
dYdX DYDX,/currencies/dydx/,11156
Ethereum Name Service ENS,/currencies/ethereum-name-service/,13855
ConstitutionDAO PEOPLE,/currencies/constitutiondao/,14806
Serum SRM,/currencies/serum/,6187
Nervos Network CKB,/currencies/nervos-network/,4948
Flux FLUX,/currencies/zel/,3029
Spell Token SPELL,/currencies/spell-token/,11289
Ultra UOS,/currencies/ultra/,4189
DigiByte DGB,/currencies/digibyte/,109
Casper CSPR,/currencies/casper/,5899
Telcoin TEL,/currencies/telcoin/,2394
MovieBloc MBL,/currencies/moviebloc/,4038
CEEK VR CEEK,/currencies/ceek-vr/,2856
Ocean Protocol OCEAN,/currencies/ocean-protocol/,3911
Perpetual Protocol PERP,/currencies/perpetual-protocol/,6950
Yield Guild Games YGG,/currencies/yield-guild-games/,10688
Nano XNO,/currencies/nano/,1567
Persistence XPRT,/currencies/persistence/,7281
Trust Wallet Token TWT,/currencies/trust-wallet-token/,5964
NuCypher NU,/currencies/nucypher/,4761
Braintrust BTRST,/currencies/braintrust/,11584
PlayDapp PLA,/currencies/playdapp/,7461
Frax Share FXS,/currencies/frax-share/,6953
Celer Network CELR,/currencies/celer-network/,3814
Origin Protocol OGN,/currencies/origin-protocol/,5117
MXC MXC,/currencies/mxc/,3628
Coin98 C98,/currencies/coin98/,10903
Lisk LSK,/currencies/lisk/,1214
Injective INJ,/currencies/injective-protocol/,7226
Dent DENT,/currencies/dent/,1886
WINkLink WIN,/currencies/wink/,4206
SuperFarm SUPER,/currencies/superfarm/,8290
XYO XYO,/currencies/xyo/,2765
Raydium RAY,/currencies/raydium/,8526
Fetch.ai FET,/currencies/fetch/,3773
Powerledger POWR,/currencies/power-ledger/,2132
Tribe TRIBE,/currencies/tribe/,9025
Vulcan Forged PYR PYR,/currencies/vulcan-forged-pyr/,9308
Chromia CHR,/currencies/chromia/,3978
COTI COTI,/currencies/coti/,3992
Chia XCH,/currencies/chia-network/,9258
Ontology Gas ONG,/currencies/ontology-gas/,3217
Request REQ,/currencies/request/,2071
MediBloc MED,/currencies/medibloc/,2303
Mdex MDX,/currencies/mdex/,8335
WazirX WRX,/currencies/wazirx/,5161
Function X FX,/currencies/function-x/,3884
Orbs ORBS,/currencies/orbs/,3835
Status SNT,/currencies/status/,1759
